review_id,course_id,text,rating
40084,2,讲解深入浅出,5
40085,4,学完后感觉提升很大,5
40086,5,整体失望，不推荐,1
40087,2,老师讲得很清楚，容易理解,5
40088,5,整体还可以，但还需改进,3
40089,4,干货满满，性价比高,5
40090,5,讲解清晰有逻辑，非常喜欢,4
40091,2,基础内容还不错，但进阶少,4
40092,4,老师讲得很清楚，容易理解,5
40093,2,案例很实用，收获满满,4
40094,2,案例太简单，不够深入,2
40095,2,实践案例很丰富,5
40096,1,案例很实用，收获满满,5
40097,2,老师非常有耐心,5
40098,1,整体体验不错，推荐学习,5
40099,2,内容详实，值得学习,4
40100,2,讲解深入浅出,5
40101,3,内容一般，有些地方不够详细,3
40102,2,内容一般，有些地方不够详细,3
40103,2,部分章节可以更深入一些,3
40104,5,整体还可以，但还需改进,3
40105,2,课程质量超出预期,4
40106,4,基础内容还不错，但进阶少,4
40107,4,讲解速度稍快,4
40108,5,整体体验不错，推荐学习,5
40109,5,部分章节可以更深入一些,4
40110,1,基础内容还不错，但进阶少,3
40111,5,非常棒的入门课程,4
40112,5,讲解不够清晰，容易困惑,2
40113,1,非常棒的入门课程,5
40114,1,整体还可以，但还需改进,3
40115,2,基础内容还不错，但进阶少,4
40116,2,基础内容还不错，但进阶少,3
40117,4,老师非常有耐心,5
40118,1,学完后感觉提升很大,5
40119,4,案例太简单，不够深入,2
40120,3,讲解速度稍快,3
40121,1,讲解速度稍快,3
40122,2,内容详实，值得学习,5
40123,5,整体还可以，但还需改进,3
40124,2,视频质量高，知识点全面,5
40125,2,中等水平，不算特别好,3
40126,1,整体还可以，但还需改进,4
40127,2,内容安排合理，循序渐进,5
40128,3,课程质量超出预期,5
40129,5,内容安排合理，循序渐进,4
40130,1,中等水平，不算特别好,4
40131,2,课程质量超出预期,4
40132,1,讲解清晰有逻辑，非常喜欢,5
40133,5,实践案例很丰富,5
40134,3,整体体验不错，推荐学习,5
40135,4,整体体验不错，推荐学习,5
40136,2,内容详实，值得学习,5
40137,3,课程内容非常好，讲解细致,5
40138,2,内容安排合理，循序渐进,5
40139,3,老师非常有耐心,5
40140,1,内容安排合理，循序渐进,4
40141,1,视频质量高，知识点全面,5
40142,3,非常棒的入门课程,5
40143,2,中等水平，不算特别好,3
40144,5,实践案例很丰富,5
40145,5,内容详实，值得学习,5
40146,3,案例太简单，不够深入,2
40147,5,老师讲得很清楚，容易理解,5
40148,2,课程质量超出预期,5
40149,1,整体失望，不推荐,1
40150,4,整体还可以，但还需改进,3
40151,1,内容过时了，需要更新,1
40152,4,视频质量高，知识点全面,5
40153,2,整体体验不错，推荐学习,5
40154,1,整体还可以，但还需改进,3
40155,1,课程质量超出预期,5
40156,1,课程质量超出预期,5
40157,5,老师讲得很清楚，容易理解,5
40158,2,缺乏互动和练习,2
40159,1,案例太简单，不够深入,2
40160,2,内容安排合理，循序渐进,5
40161,1,案例太简单，不够深入,2
40162,2,老师讲得很清楚，容易理解,4
40163,2,整体还可以，但还需改进,4
40164,1,讲解不够清晰，容易困惑,2
40165,4,整体还可以，但还需改进,4
40166,3,内容过时了，需要更新,2
40167,3,讲解速度稍快,3
40168,5,老师讲得很清楚，容易理解,5
40169,4,视频质量高，知识点全面,5
40170,2,内容一般，有些地方不够详细,3
40171,4,课程内容非常好，讲解细致,5
40172,1,内容安排合理，循序渐进,5
40173,5,内容一般，有些地方不够详细,3
40174,5,整体体验不错，推荐学习,5
40175,3,课程质量超出预期,5
40176,4,整体体验不错，推荐学习,4
40177,3,基础内容还不错，但进阶少,3
40178,5,课程质量超出预期,4
40179,1,整体体验不错，推荐学习,5
40180,4,干货满满，性价比高,5
40181,5,实践案例很丰富,5
40182,1,内容过时了，需要更新,1
40183,2,视频质量一般,1
40184,4,老师讲得很清楚，容易理解,5
40185,3,课程内容非常好，讲解细致,5
40186,4,基础内容还不错，但进阶少,3
40187,3,老师非常有耐心,4
40188,5,中等水平，不算特别好,3
40189,3,课程质量超出预期,5
40190,5,部分章节可以更深入一些,3
40191,5,干货满满，性价比高,4
40192,1,视频质量一般,1
40193,4,学完后感觉提升很大,5
40194,5,内容详实，值得学习,4
40195,2,整体还可以，但还需改进,4
40196,5,课程质量超出预期,5
40197,5,非常棒的入门课程,5
40198,3,课程质量超出预期,5
40199,4,中等水平，不算特别好,4
